ELISA,Log10E,NewPR
1,2.621176282,0.657266811
0,-0.232398932,0.016042781
1,1.340444115,0.567251462
1,1.333144876,0.621315193
1,1.425615725,0.570351759
1,1.562292864,0.664
1,2.375206221,0.947368421
1,2.476106717,0.285714286
0,0.562292864,0.181034483
0,1.792741786,0.82010582
0,1.340444115,0.6
1,0.255272505,0.527692308
1,-1.096910013,0.262334537
1,1.959041392,0.814393939
1,0.230448921,0.6625
1,0.986771734,0.639551192
1,-1.522878745,0.11814346
0,2.419625361,0.58629776
0,2.349860082,0.453703704
1,2.766412847,0.919795222
1,2.579326204,0.929328622
1,-1,0.024930748
0,-1.301029996,0.014
1,1.531478917,0.53475
1,2.607455023,0.818
0,0.105510185,0.046915167
1,-0.036212173,0.402
1,1.963787827,0.666666667
1,2.123851641,0.5
1,1.913813852,0.5
1,1.247727833,0.046296296
1,0.432969291,0.555555556
1,0.667452953,0.494809689
1,0.176091259,0.463519313
1,1.177247836,0.525735294
1,1.497482537,0.672064777
1,0.549003262,0.514285714
1,-0.251811973,0.458715596
1,-0.180456064,0.558232932
0,2.398252588,0.60952381
1,2.281147042,0.72
1,-0.558524816,0.020725389
1,2.738384124,0.843964671
0,0.477121255,0.277777778
1,0.176091259,0.171428571
1,0.903089987,0.446428571
1,2.078166708,0.73
1,1.130494589,0.65
1,-0.13667714,0.383838384
1,1.723660867,0.613861386
1,1.465382851,0.82
1,1.333144876,0.79
1,0.841046465,0.6
1,1.549064599,0.540816327
1,1.394801777,0.72
1,1.340444115,0.69
1,1.800338968,0.641025641
1,1.544564097,0.752475248
1,1.611510887,0.58
1,1.591676642,0.663366337
1,1.164352856,0.48
1,0.261262869,0.59
1,1.024690862,0.63
1,1.225050696,0.49
1,1.175076721,0.78
1,1.521334257,0.828282828
1,0.698970004,0.5
1,0.884512159,0.72
1,0.039414119,0.54
1,1.619197716,0.67
1,1.436957331,0.66
1,0.960232873,0.44
1,0.562292864,0.59
0,1.723044992,0.436388889
0,1.247973266,0.633643617
0,2.245759356,0.695074946
1,2.792741786,0.752016129
1,2.824405724,0.816747573
1,2.622990705,0.767746382
0,2.599719362,0.850222442
1,2.41480628,0.639583333
0,2.7084209,0.646551724
0,2.752624563,0.664670659
0,2.599773939,0.888059701
0,1.903089987,0.883495146
0,0.662757832,0.289124668
0,-0.853871964,0.065445026
0,-0.259637311,0.112745098
1,1.423245874,0.5666
1,0.944482672,0.5666
0,2.645029065,0.949152542
0,0.167317335,0.221674877
0,0.887054378,0.314814815
0,0.746634199,0.197452229
0,2.053078443,0.771186441
0,1.913813852,0.569230769
1,2.337858429,0.859649123
1,2.433929766,0.875
1,2.760949951,0.882352941
1,2.372175286,0.763636364
1,2.846708145,0.745
1,2.343605508,0.927
1,1.971739591,0.872
1,1.669316881,0.560283688
1,2.517195898,0.867072111
1,1.079181246,0.427710843
1,-0.036212173,0.13559322
1,0.08278537,0.347107438
1,0.620136055,0.432835821
1,-0.356547324,0.053571429
1,0.889301703,0.65
1,0.28780173,0.107142857
1,1.047274867,0.5
1,0.698970004,0.169491525
1,0.51054501,0.191304348
1,-0.004364805,0.389830508
0,2.390935107,0.776931447
0,1.352182518,0.413669065
0,-0.916855857,0.032926829
0,2.38030171,0.904742765
1,2.206825876,0.714285714
0,1.684845362,0.405827263
0,0.531478917,0.349775785
0,2.056904851,0.337787056
0,2.42975228,0.343442623
1,1.325720858,0.095238095
